회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
포스코강판,058430,1차 철강 제조업,"용융아연도금강판,용융알루미늄도금강판,칼라도장강판,냉연강판 가공,제조,도매",8/16/2002,12월,전중선,http://www.poscocnc.com,경상북도
하이골드12호,172580,운송장비 임대업,,7/12/2013,12월,오운용,,제주특별자치도
하이골드8호,159650,운송장비 임대업,선박펀드,9/17/2012,12월,오운용,http://www.kmarin.co.kr,제주특별자치도
한국가스공사,036460,연료용 가스 제조 및 배관공급업,"액화천연가스 공급,제조,도매,개발",12/15/1999,12월,안완기,http://www.kogas.or.kr,대구광역시
한국전력공사,015760,전기업,"전력자원개발,발전,송전,전력용기자재확보",8/10/1989,12월,조환익,http://www.kepco.co.kr,전라남도
한국콜마홀딩스,024720,기타 금융업,"화장품,의약부외품의 주문자표시 제조,도매",4/9/2002,12월,"윤동한, 안병준, 김병묵",http://www.kolmar.co.kr,세종특별자치시
한세실업,105630,봉제의복 제조업,의류 완제품,3/20/2009,12월,"이용백, 김익환",http://www.hansae.com,서울특별시
한익스프레스,014130,도로 화물 운송업,"특수화물 운송(유류,화학류,벌크제품 등),냉동차,탱크로리운송,복합운송 주선,임대,택배/특장차,중기 제조,판매",7/25/1989,12월,이재헌,http://www.hanex.co.kr,경기도
한전KPS,051600,전기 및 통신 공사업,"일반전기공사,발전설비정비공사,점검,수리,엔지니어링",12/14/2007,12월,정의헌,http://www.kps.co.kr,전라남도
한전산업,130660,"건축기술, 엔지니어링 및 관련 기술 서비스업","발전설비 운전·정비, 전기검침",12/16/2010,12월,주복원,http://www.kepid.co.kr,서울특별시
한화손해보험,000370,보험업,손해보험,6/30/1975,12월,박윤식,http://www.hwgeneralins.com/,서울특별시
현대글로비스,086280,기타 운송관련 서비스업,"화물운송주선,화물포장,자동차 수리/산업용 기계장비 임대",12/26/2005,12월,김경배,http://www.glovis.net,서울특별시
현대엘리베이터,017800,일반 목적용 기계 제조업,"엘리베이터,에스컬레이터,공항,공정,크린룸,병원 물류시스템,수,배송센터,고속소팅시스템,주차설비 제조,판매,보수",7/3/1996,12월,장병우,http://www.hyundaielevator.co.kr,경기도
현대자동차,005380,자동차용 엔진 및 자동차 제조업,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",6/28/1974,12월,"정몽구, 윤갑한, 이원희(각자 대표이사)",http://www.hyundai.com,서울특별시
현대홈쇼핑,057050,무점포 소매업,TV홈쇼핑 도소매/홈쇼핑프로그램 제작,9/13/2010,12월,"정교선,강찬석(각자 대표이사)",http://www.hmall.com,서울특별시
혜인,003010,기계장비 및 관련 물품 도매업,"건설기계,산업용 기계장비(진공흡인차,세정차),스테거크레인,비상용발전기,해상용엔진 도소매/창고",9/20/1988,12월,원경희,http://www.haein.com,서울특별시
호전실업,111110,봉제의복 제조업,스포츠웨어 및 아웃도어 웨어 OEM,2/2/2017,12월,박용철 박진호,http://www.hojeon.com,서울특별시
화천기계,010660,특수 목적용 기계 제조업,"선반,밀링,연삭기,CNC선반,CNC밀링,머시닝센타 제조,판매/자동차부품(실린더블럭) 제조",12/12/1988,12월,"권영열, 권형석",http://www.hwacheon.co.kr,서울특별시
환인제약,016580,의약품 제조업,"의약품(신경정신질환치료제,소화기관용약제,연고) 제조,도매",7/3/1996,12월,"이광식, 이원범(각자 대표이사)",http://www.whanin.co.kr,서울특별시
휴니드테크놀러지스,005870,통신 및 방송 장비 제조업,"무선통신기기,군납용무전기,위성방송수신기 제조",9/3/1991,12월,신종석,http://www.huneed.com,인천광역시
흥국화재,000540,보험업,손해보험,12/5/1974,12월,권중원,http://www.insurance.co.kr,서울특별시
GH신소재,130500,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼",8/2/2013,12월,강경순,http://www.gumho-nt.com,경상북도
GRT,900290,기타 금융업,"광학필름, 포장필름",10/25/2016,06월,주영남,,홍콩
HRS,036640,합성고무 및 플라스틱 물질 제조업,실리콘 컴파운드제품 제조,5/30/2000,12월,김진성,http://www.hrssilicone.com,경기도
IBKS제3호스팩,225430,금융 지원 서비스업,금융지원 서비스,10/8/2015,12월,구상모,,서울특별시
ITX엠투엠,099520,영상 및 음향기기 제조업,"DVR,유선통신기기 제조,무역/소프트웨어 자문,연구개발,기술용역",12/22/2009,12월,박상열,http://www.itxsecurity.com,서울특별시
KB오토시스,024120,자동차 신품 부품 제조업,브레이크패드,12/7/1994,12월,김신완,http://www.kbautosys.com,충청남도
KG ETS,151860,폐기물 처리업,"집단에너지(스팀), 산화동, 폐기물 소각",7/24/2013,12월,엄기민,http://www.kgets.co.kr,경기도
KG모빌리언스,046440,소프트웨어 개발 및 공급업,유무선전화결제서비스,12/14/2004,12월,곽재선,http://www.mobilians.co.kr,경기도
KJ프리텍,083470,플라스틱제품 제조업,"소형 BLU, 정밀 플라스틱 제품",9/18/2008,12월,남정석,http://www.kjpretech.com,경기도
KPX생명과학,114450,기초 의약물질 및 생물학적 제제 제조업,의약품 중간체 등,12/22/2009,12월,"양준영,최수동 (각자 대표이사)",http://www.kpxls.com/,전라남도
MP그룹,065150,음·식료품 및 담배 도매업,외식 프랜차이즈사업 및 식자재 유통,7/18/2007,12월,이상은,http://www.mrpizza.co.kr,서울특별시
고려시멘트,198440,"시멘트, 석회, 플라스터 및 그 제품 제조업",기업인수합병,8/13/2014,12월,이국노,,전라남도
교보비엔케이스팩,242040,금융 지원 서비스업,기업인수합병,9/7/2016,12월,이창열,,서울특별시
국순당,043650,알코올음료 제조업,탁주 및 약주,8/24/2000,12월,배중호,http://www.ksdb.co.kr,강원도
그랜드백화점,019010,종합 소매업,"백화점, 할인점",11/5/1993,12월,김만진,http://www.granddept.co.kr,서울특별시
금강철강,053260,1차 철강 제조업,"냉연압연강판, 산세코일",1/4/2002,12월,"주광남, 주성호(각자 대표)",http://www.kksteel.co.kr,서울특별시
기가레인,049080,특수 목적용 기계 제조업,RF통신부품 및 반도체 장비,12/19/2013,12월,"김정곤, 장일준(각자대표)",http://www.gigalane.com,경기도
나노신소재,121600,기타 화학제품 제조업,"인듐계 산화물 TCO Target, 반도체 CMP Slurry 등",2/9/2011,12월,박장우,http://anapro.com,세종특별자치시
네오위즈홀딩스,042420,기타 금융업,지주사업,6/27/2000,12월,나성균,http://www.neowiz.com,경기도
네이처셀,007390,비알코올음료 및 얼음 제조업,잔치집식혜,11/30/1992,12월,라정찬,http://www.rnlsamml.com,서울특별시
넥스트칩,092600,반도체 제조업,영상처리용 시스템반도체,6/26/2007,12월,김경수,http://www.nextchip.com,경기도
녹원씨아이,065560,기타 전문 도매업,산업용필터,7/1/2003,12월,"정상훈, 안성호 (각자 대표이사)",http://www.nokwonci.co.kr,경기도
농우바이오,054050,작물 재배업,"고추, 수박, 참외(메론), 오이, 호박, 무, 배추 등",4/2/2002,12월,최유현,http://www.nongwoobio.co.kr,경기도
뉴로스,126870,일반 목적용 기계 제조업,터보블로워,2/15/2012,12월,김승우,http://www.neuros.co.kr,대전광역시
뉴인텍,012340,전자부품 제조업,콘덴서,2/12/1997,12월,장기수,http://www.nuin.co.kr,충청남도
대봉엘에스,078140,의약품 제조업,"원료의약품,화장품원료",12/23/2005,12월,"박종호, 박진오",http://www.daebongls.co.kr,인천광역시
대성미생물,036480,의약품 제조업,"동물용 의약품, 미생물제재",4/4/2000,12월,조항원,http://www.dsmbio.com,경기도
